R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_SIG_TD,B_SIG_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_CTRL,B_CTRL,R_LANDED_HEAD,B_LANDED_HEAD,R_LANDED_BODY,B_LANDED_BODY,R_LANDED_LEG,B_LANDED_LEG,R_DISTANCE,B_DISTANCE,R_LANDED_CLINCH,B_LANDED_CLINCH,R_LANDED_GROUND,B_LANDED_GROUND,win_by,Referee,location,Weight_class,Winner,Winner By Corner,title_bout,B_age,R_age,B_Stance,R_Stance,B_Height_cms,R_Height_cms,B_current_win_streak,R_current_win_streak,R_TOTAL_TD,B_TOTAL_TD,R_ATT_HEAD,B_ATT_HEAD,R_ATT_BODY,B_ATT_BODY,R_ATT_LEG,B_ATT_LEG,R_ATT_CLINCH,B_ATT_CLINCH,R_ATT_GROUND,B_ATT_GROUND,Day,Month,Year
Lucas Martins,Jeremy Larsen,1,1,39,52,35,48,116,116,0,2,0,28,0,0,4,205,28,48,5,1,6,3,96,81,4,10,2,4,KO/TKO,Mario Yamasaki,"Jaragua do Sul, Santa Catarina, Brazil",Lightweight Bout,Lucas Martins,Red,False,28,24,Orthodox,Southpaw,177.8,182.88,0,0,0,7,100,102,5,2,6,4,13,21,2,6,18,May,2013
John Lineker,Azamat Gashimov,3,0,36,7,45,18,92,39,0,0,0,0,0,0,106,1,21,5,14,1,1,1,51,35,4,0,11,2,KO/TKO,Mario Yamasaki,"Jaragua do Sul, Santa Catarina, Brazil",Flyweight Bout,John Lineker,Red,False,23,22,Orthodox,Orthodox,167.64,160.02,0,0,0,3,60,33,17,4,3,1,5,1,24,2,18,May,2013
Fabio Maldonado,Roger Hollett,0,0,100,29,66,65,211,47,1,2,50,28,0,0,198,267,44,14,56,10,0,5,62,25,66,16,8,1,Decision - Unanimous,Leon Roberts,"Jaragua do Sul, Santa Catarina, Brazil",Light Heavyweight Bout,Fabio Maldonado,Red,False,34,33,Orthodox,Orthodox,180.34,185.42,0,1,2,7,83,27,68,12,0,5,80,18,9,1,18,May,2013
Rustam Khabilov,Yancy Medeiros,0,0,3,4,17,22,18,18,1,0,50,0,0,0,17,0,2,1,0,1,1,2,17,18,0,0,0,0,TKO - Doctor's Stoppage,Dan Miragliotta,"Newark, New Jersey, USA",Lightweight Bout,Rustam Khabilov,Red,False,25,26,Orthodox,Orthodox,177.8,172.72,0,1,2,0,13,12,3,4,1,2,0,0,0,0,27,April,2013
Jon Jones,Chael Sonnen,0,0,20,6,74,40,43,51,3,0,50,0,0,0,246,0,16,0,4,6,0,0,1,5,5,6,15,0,KO/TKO,Keith Peterson,"Newark, New Jersey, USA",UFC Light Heavyweight Title Bout,Jon Jones,Red,True,36,25,Southpaw,Orthodox,185.42,193.04,0,3,6,0,22,5,5,9,0,1,7,10,19,0,27,April,2013
Phil Davis,Vinny Magalhaes,0,0,79,29,29,19,272,152,0,1,0,33,0,0,55,20,72,14,5,1,2,14,265,149,2,0,0,0,Decision - Unanimous,Dan Miragliotta,"Newark, New Jersey, USA",Light Heavyweight Bout,Phil Davis,Red,False,28,28,Orthodox,Orthodox,190.5,187.96,0,5,1,3,253,122,13,6,2,23,2,0,1,2,27,April,2013
Gian Villante,Ovince Saint Preux,0,0,28,47,56,55,57,94,0,0,0,0,0,0,71,42,5,33,3,5,20,9,46,82,3,2,0,0,Decision - Majority,Kevin Mulhall,"Newark, New Jersey, USA",Light Heavyweight Bout,Ovince Saint Preux,Blue,False,30,27,Southpaw,Orthodox,190.5,190.5,0,0,4,2,14,65,7,7,29,12,4,2,0,0,27,April,2013
Sara McMann,Sheila Gaff,0,0,8,7,88,58,73,20,2,0,100,0,0,0,227,1,7,1,1,6,0,0,2,4,0,6,7,0,KO/TKO,Gasper Oliver,"Newark, New Jersey, USA",Women's Bantamweight Bout,Sara McMann,Red,False,23,32,Orthodox,Orthodox,165.1,167.64,0,0,2,0,8,4,1,8,0,0,0,8,7,0,27,April,2013
Roy Nelson,Cheick Kongo,1,0,2,4,40,66,6,10,0,0,0,0,0,0,71,0,2,0,0,2,0,2,2,4,0,2,1,0,KO/TKO,Kevin Mulhall,"Newark, New Jersey, USA",Heavyweight Bout,Roy Nelson,Red,False,37,36,Orthodox,Orthodox,193.04,182.88,2,2,0,0,4,2,1,2,0,2,2,2,1,0,27,April,2013
Michael Bisping,Alan Belcher,0,0,93,29,41,19,226,150,0,0,0,0,0,0,8,0,64,11,3,7,26,11,221,150,1,0,0,0,Decision - Unanimous,Herb Dean,"Newark, New Jersey, USA",Middleweight Bout,Michael Bisping,Red,False,29,34,Orthodox,Orthodox,187.96,185.42,0,4,0,3,187,111,7,19,31,20,4,0,0,0,27,April,2013
Jim Miller,Pat Healy,0,0,27,53,47,55,71,184,1,5,100,71,0,2,182,425,18,41,3,10,6,2,37,43,4,16,12,17,Overturned,Herb Dean,"Newark, New Jersey, USA",Lightweight Bout,Draw,Draw,False,29,29,Orthodox,Southpaw,182.88,172.72,0,2,1,7,45,79,5,13,7,3,7,22,13,30,27,April,2013
Steven Siler,Kurt Holobaugh,0,0,50,41,45,44,201,196,1,1,25,50,2,2,407,299,36,13,13,18,1,10,52,60,15,16,13,10,Decision - Unanimous,Gasper Oliver,"Newark, New Jersey, USA",Featherweight Bout,Steven Siler,Red,False,26,26,Orthodox,Orthodox,180.34,180.34,0,3,4,2,92,58,16,20,1,14,32,19,25,13,27,April,2013
Bryan Caraway,Johnny Bedford,0,0,43,50,39,38,202,140,3,0,42,0,1,0,381,20,38,30,5,16,0,4,106,126,1,5,1,0,Submission,Keith Peterson,"Newark, New Jersey, USA",Bantamweight Bout,Bryan Caraway,Red,False,30,28,Orthodox,Orthodox,177.8,172.72,2,2,7,1,99,108,8,19,1,4,1,5,1,0,27,April,2013
Leonard Garcia,Cody McKenzie,0,0,15,30,19,55,92,111,0,5,0,38,0,4,20,551,10,27,4,2,1,1,73,38,2,4,2,10,Decision - Unanimous,Dan Miragliotta,"Newark, New Jersey, USA",Featherweight Bout,Cody McKenzie,Blue,False,25,33,Switch,Orthodox,182.88,177.8,1,0,0,13,70,48,4,5,3,1,2,6,2,10,27,April,2013
Chad Mendes,Darren Elkins,1,0,7,2,50,6,14,29,0,0,0,0,0,0,3,0,5,1,0,1,2,0,11,29,0,0,2,0,KO/TKO,Herb Dean,"San Jose, California, USA",Featherweight Bout,Chad Mendes,Red,False,28,27,Orthodox,Orthodox,177.8,167.64,1,2,0,0,12,28,0,1,2,0,0,0,3,0,20,April,2013
Benson Henderson,Gilbert Melendez,0,0,68,43,40,22,191,204,0,1,0,100,0,0,87,51,20,16,20,16,28,11,150,174,8,8,2,1,Decision - Split,John McCarthy,"San Jose, California, USA",UFC Lightweight Title Bout,Benson Henderson,Red,True,31,29,Orthodox,Southpaw,175.26,175.26,0,6,4,1,110,155,22,20,34,16,13,14,3,3,20,April,2013
Francis Carmont,Lorenz Larkin,0,0,12,32,16,39,78,88,2,0,18,0,0,0,317,8,8,11,1,1,3,20,72,65,1,9,0,1,Decision - Unanimous,Mike Beltran,"San Jose, California, USA",Middleweight Bout,Francis Carmont,Red,False,26,31,Orthodox,Orthodox,180.34,190.5,0,4,11,0,58,46,12,8,5,28,3,16,0,1,20,April,2013
Ramsey Nijem,Myles Jury,0,1,6,5,21,20,32,37,1,2,100,100,0,0,139,137,3,3,2,1,1,1,26,21,0,0,1,2,KO/TKO,John McCarthy,"San Jose, California, USA",Lightweight Bout,Myles Jury,Blue,False,24,25,Orthodox,Orthodox,177.8,180.34,2,0,1,2,22,17,5,3,1,4,0,0,2,3,20,April,2013
Nate Diaz,Josh Thomson,0,1,21,36,28,50,94,79,1,1,100,100,1,0,54,81,17,23,2,7,2,6,64,34,4,13,2,10,KO/TKO,Mike Beltran,"San Jose, California, USA",Lightweight Bout,Josh Thomson,Blue,False,34,28,Orthodox,Southpaw,177.8,182.88,2,5,1,1,65,50,7,9,2,12,7,17,3,20,20,April,2013
Frank Mir,Daniel Cormier,0,0,24,59,40,61,89,139,0,0,0,0,0,0,18,454,5,27,14,23,5,9,44,32,10,49,1,0,Decision - Unanimous,Herb Dean,"San Jose, California, USA",Heavyweight Bout,Daniel Cormier,Blue,False,34,33,Orthodox,Southpaw,180.34,190.5,0,2,0,1,38,57,17,30,5,9,15,64,1,0,20,April,2013
Joseph Benavidez,Darren Uyenoyama,2,0,57,11,37,33,162,33,2,0,100,0,0,0,111,26,35,6,8,3,14,2,130,29,2,2,6,1,KO/TKO,Herb Dean,"San Jose, California, USA",Flyweight Bout,Joseph Benavidez,Red,False,33,28,Orthodox,Southpaw,167.64,162.56,2,3,2,2,126,24,10,7,17,2,3,2,20,2,20,April,2013
Matt Brown,Jordan Mein,0,1,40,24,47,41,85,59,0,0,0,0,1,0,35,87,27,18,13,5,0,1,54,42,12,1,11,6,KO/TKO,John McCarthy,"San Jose, California, USA",Welterweight Bout,Matt Brown,Red,False,23,32,Orthodox,Orthodox,182.88,182.88,1,1,1,0,67,49,16,8,1,1,17,4,13,12,20,April,2013
Tim Means,Jorge Masvidal,0,0,43,50,32,37,161,157,0,6,0,75,0,0,18,442,33,38,7,10,3,2,85,63,2,2,17,27,Decision - Unanimous,Mike Beltran,"San Jose, California, USA",Lightweight Bout,Jorge Masvidal,Blue,False,28,29,Orthodox,Orthodox,180.34,187.96,0,2,1,8,114,116,15,14,4,2,5,5,43,64,20,April,2013
TJ Dillashaw,Hugo Viana,1,0,21,11,47,32,45,36,1,0,33,0,0,0,62,0,16,8,3,1,2,2,39,28,1,3,3,0,KO/TKO,John McCarthy,"San Jose, California, USA",Bantamweight Bout,TJ Dillashaw,Red,False,30,27,Orthodox,Orthodox,167.64,167.64,2,0,3,0,39,30,3,2,2,2,2,6,3,0,20,April,2013
Anthony Njokuani,Roger Bowling,1,0,26,27,56,35,48,82,0,1,0,100,0,0,2,54,15,15,7,6,4,6,41,69,4,2,0,3,KO/TKO,Herb Dean,"San Jose, California, USA",Lightweight Bout,Anthony Njokuani,Red,False,30,33,Orthodox,Orthodox,175.26,185.42,0,0,1,1,33,55,9,11,4,10,4,4,1,3,20,April,2013
Clifford Starks,Yoel Romero,0,1,3,12,16,100,18,12,0,0,0,0,0,0,0,3,1,6,1,1,1,5,18,8,0,0,0,4,KO/TKO,Mike Beltran,"San Jose, California, USA",Middleweight Bout,Yoel Romero,Blue,False,35,31,Southpaw,Orthodox,182.88,182.88,0,1,0,1,14,6,3,1,1,5,0,0,0,4,20,April,2013
Robert McDaniel,Gilbert Smith,0,0,35,14,64,41,117,45,0,3,0,60,3,1,377,230,26,6,5,6,4,2,34,29,6,2,11,0,Submission,Steve Mazzagatti,"Las Vegas, Nevada, USA",Middleweight Bout,Robert McDaniel,Red,False,31,29,Southpaw,Southpaw,175.26,190.5,0,0,0,5,43,24,7,8,4,2,8,5,12,0,13,April,2013
Uriah Hall,Kelvin Gastelum,0,0,44,31,57,41,121,141,2,3,66,50,0,0,114,389,23,7,13,14,8,10,60,51,8,10,8,3,Decision - Split,Herb Dean,"Las Vegas, Nevada, USA",Ultimate Fighter 17 Middleweight Tournament Title Bout,Kelvin Gastelum,Blue,True,21,28,Southpaw,Orthodox,175.26,182.88,0,0,3,6,51,49,18,14,8,11,8,13,9,10,13,April,2013
Luke Barnatt,Collin Hart,0,0,113,95,48,44,238,223,1,2,50,16,1,0,42,213,93,67,13,11,7,17,206,177,17,20,2,0,Decision - Unanimous,Kim Winslow,"Las Vegas, Nevada, USA",Middleweight Bout,Luke Barnatt,Red,False,23,24,Orthodox,Orthodox,185.42,198.12,0,0,2,12,203,163,19,18,10,31,23,35,3,0,13,April,2013
Josh Samman,Kevin Casey,1,0,36,14,58,63,83,76,0,0,0,0,0,2,137,193,13,9,21,5,2,0,3,3,30,3,5,11,KO/TKO,Herb Dean,"Las Vegas, Nevada, USA",Middleweight Bout,Josh Samman,Red,False,31,25,Southpaw,Orthodox,180.34,190.5,0,0,0,1,33,15,27,7,2,0,47,3,12,16,13,April,2013
Urijah Faber,Scott Jorgensen,0,0,93,73,57,43,200,173,4,1,66,16,3,0,305,129,57,45,32,8,4,20,155,158,5,8,1,0,Submission,Steve Mazzagatti,"Las Vegas, Nevada, USA",Bantamweight Bout,Urijah Faber,Red,False,30,33,Orthodox,Orthodox,165.1,167.64,2,1,6,6,123,136,36,12,4,20,6,10,2,0,13,April,2013
Travis Browne,Gabriel Gonzaga,1,0,9,1,90,100,12,3,0,0,0,0,0,0,0,58,7,0,1,1,1,0,1,0,9,1,0,0,KO/TKO,Chris Tognoni,"Las Vegas, Nevada, USA",Heavyweight Bout,Travis Browne,Red,False,33,30,Orthodox,Orthodox,187.96,198.12,4,1,0,2,8,0,1,1,1,0,9,1,0,0,13,April,2013
Miesha Tate,Cat Zingano,0,0,23,35,54,83,80,120,3,1,42,100,3,1,296,353,21,23,2,8,0,4,30,22,2,8,5,11,KO/TKO,Kim Winslow,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Cat Zingano,Blue,False,30,26,Southpaw,Orthodox,167.64,167.64,0,0,7,1,40,30,2,8,0,4,4,9,8,11,13,April,2013
Dylan Andrews,Jimmy Quinlan,1,0,20,7,83,70,40,10,0,1,0,25,0,0,8,167,20,5,0,2,0,0,5,10,4,0,12,0,KO/TKO,Chris Tognoni,"Las Vegas, Nevada, USA",Middleweight Bout,Dylan Andrews,Red,False,26,33,Orthodox,Switch,182.88,185.42,0,0,0,4,24,8,0,2,0,0,4,0,15,0,13,April,2013
Justin Lawrence,Daniel Pineda,0,0,0,1,0,50,2,5,0,2,0,66,0,1,0,79,0,0,0,1,0,0,2,1,0,1,0,0,Submission,Chris Tognoni,"Las Vegas, Nevada, USA",Featherweight Bout,Daniel Pineda,Blue,False,27,22,Orthodox,Orthodox,170.18,172.72,2,1,0,3,2,1,0,1,0,0,0,1,0,0,13,April,2013
Bristol Marunde,Clint Hester,0,2,21,66,25,46,93,156,3,0,33,0,0,0,144,118,17,50,2,9,2,7,72,105,4,13,0,13,KO/TKO,Steve Mazzagatti,"Las Vegas, Nevada, USA",Middleweight Bout,Clint Hester,Blue,False,26,30,Orthodox,Orthodox,187.96,185.42,0,0,9,1,77,118,2,15,2,10,9,20,0,18,13,April,2013
Sam Sicilia,Maximo Blanco,0,0,26,52,26,35,107,180,1,2,14,50,1,1,131,225,19,39,2,3,5,10,81,130,9,9,1,0,Decision - Unanimous,Kim Winslow,"Las Vegas, Nevada, USA",Featherweight Bout,Maximo Blanco,Blue,False,29,27,Orthodox,Orthodox,172.72,172.72,0,1,7,4,90,113,3,16,6,16,15,14,3,1,13,April,2013
Cole Miller,Bart Palaszewski,0,0,5,18,11,29,44,62,1,0,100,0,1,0,44,0,1,7,1,2,3,9,43,61,0,0,0,1,Submission,Herb Dean,"Las Vegas, Nevada, USA",Featherweight Bout,Cole Miller,Red,False,29,28,Orthodox,Orthodox,175.26,185.42,1,2,1,0,36,48,4,4,3,10,0,0,0,1,13,April,2013
Ryan Couture,Ross Pearson,0,1,29,28,37,68,83,62,1,1,14,100,0,0,188,10,7,22,12,6,10,0,54,32,14,3,0,3,KO/TKO,Leon Roberts,"Stockholm, Sweden",Lightweight Bout,Ross Pearson,Blue,False,28,30,Orthodox,Orthodox,172.72,177.8,3,0,7,1,38,35,18,6,21,0,23,3,0,6,6,April,2013
Reza Madadi,Michael Johnson,0,1,34,20,73,31,98,66,4,0,66,0,2,0,367,110,33,13,1,6,0,1,9,46,0,5,32,5,Submission,Marko Gyllenland,"Stockholm, Sweden",Lightweight Bout,Reza Madadi,Red,False,26,34,Southpaw,Orthodox,177.8,180.34,0,1,6,0,44,53,2,10,0,1,0,7,37,11,6,April,2013
Matt Mitrione,Philip De Fries,0,0,7,0,77,0,9,2,0,0,0,0,0,0,3,0,7,0,0,0,0,0,3,2,0,0,6,0,KO/TKO,Marc Goddard,"Stockholm, Sweden",Heavyweight Bout,Matt Mitrione,Red,False,26,34,Orthodox,Switch,195.58,190.5,1,5,0,2,9,2,0,0,0,0,0,0,6,0,6,April,2013
Diego Brandao,Pablo Garza,0,0,9,4,50,28,27,17,0,1,0,50,1,0,101,0,4,2,2,1,3,1,14,13,0,1,2,0,Submission,Marko Gyllenland,"Stockholm, Sweden",Featherweight Bout,Diego Brandao,Red,False,29,25,Orthodox,Orthodox,185.42,170.18,2,1,0,2,11,12,2,1,5,1,1,1,3,0,6,April,2013
Gegard Mousasi,Ilir Latifi,0,0,80,18,53,16,150,114,0,1,0,33,0,0,6,31,62,11,7,3,11,4,148,105,0,0,1,2,Decision - Unanimous,Marc Goddard,"Stockholm, Sweden",Light Heavyweight Bout,Gegard Mousasi,Red,False,29,27,Orthodox,Orthodox,177.8,187.96,0,0,0,3,120,101,18,5,12,6,0,1,2,6,6,April,2013
Tor Troeng,Adam Cella,0,0,6,2,54,16,23,14,1,0,100,0,1,0,141,0,5,1,0,0,1,1,7,12,0,0,4,0,Submission,Marc Goddard,"Stockholm, Sweden",Middleweight Bout,Tor Troeng,Red,False,27,30,Unknown,Unknown,187.96,187.96,0,0,1,0,8,8,1,2,2,2,0,0,4,0,6,April,2013
Brad Pickett,Mike Easton,0,0,68,71,33,45,234,182,4,3,57,37,0,0,274,150,50,44,8,14,10,13,170,123,21,18,0,1,Decision - Split,Leon Roberts,"Stockholm, Sweden",Bantamweight Bout,Brad Pickett,Red,False,29,34,Southpaw,Orthodox,167.64,167.64,3,0,7,8,183,119,12,22,10,14,33,29,2,3,6,April,2013
Akira Corassani,Robert Peralta,0,0,48,67,55,46,96,172,2,0,33,0,0,0,270,131,18,29,9,20,21,18,71,96,10,34,0,5,Decision - Unanimous,Kristian Hacklou,"Stockholm, Sweden",Featherweight Bout,Akira Corassani,Red,False,27,30,Orthodox,Orthodox,172.72,172.72,1,1,6,2,49,98,12,27,25,19,15,43,0,5,6,April,2013
Chris Spang,Adlan Amagov,0,0,5,38,8,38,76,118,0,6,0,60,0,0,0,269,1,12,1,5,3,21,53,77,1,10,0,2,Decision - Unanimous,Leon Roberts,"Stockholm, Sweden",Welterweight Bout,Adlan Amagov,Blue,False,26,25,Orthodox,Orthodox,187.96,187.96,0,0,0,10,44,53,4,9,9,37,4,16,0,6,6,April,2013
Marcus Brimage,Conor McGregor,0,1,12,21,29,60,41,36,0,0,0,0,0,0,0,5,7,20,2,1,3,0,41,29,0,0,0,5,KO/TKO,Robert Sundel,"Stockholm, Sweden",Featherweight Bout,Conor McGregor,Blue,False,24,28,Southpaw,Southpaw,175.26,162.56,0,3,0,0,34,34,2,1,5,0,0,0,0,6,6,April,2013
Ben Alloway,Ryan LaFlare,0,0,9,37,32,41,47,115,1,6,50,75,0,1,88,582,7,23,1,12,1,2,25,31,0,17,1,8,Decision - Unanimous,Kristian Hacklou,"Stockholm, Sweden",Welterweight Bout,Ryan LaFlare,Blue,False,29,32,Southpaw,Orthodox,185.42,180.34,0,1,2,8,23,66,2,21,3,3,2,41,1,18,6,April,2013
Michael Kuiper,Tom Lawlor,0,0,14,7,48,53,40,16,3,0,100,0,0,1,130,170,11,4,3,3,0,0,8,8,4,5,9,0,Submission,Marko Gyllenland,"Stockholm, Sweden",Middleweight Bout,Tom Lawlor,Blue,False,29,23,Southpaw,Orthodox,182.88,182.88,2,0,3,7,21,10,6,3,2,0,6,5,15,0,6,April,2013
Papy Abedi,Besam Yousef,0,0,53,43,66,54,97,185,4,2,66,66,0,0,337,265,14,22,35,18,4,3,21,19,27,35,16,0,Decision - Split,Robert Sundel,"Stockholm, Sweden",Welterweight Bout,Papy Abedi,Red,False,28,34,Orthodox,Southpaw,180.34,180.34,0,0,6,3,31,55,39,19,10,5,34,59,25,1,6,April,2013
Jake Ellenberger,Nate Marquardt,1,0,13,13,52,56,25,23,0,0,0,0,0,0,3,0,8,2,2,1,3,10,21,23,0,0,2,0,KO/TKO,Philippe Chartier,"Montreal, Quebec, Canada",Welterweight Bout,Jake Ellenberger,Red,False,33,27,Orthodox,Orthodox,182.88,175.26,4,0,0,0,20,11,2,1,3,11,0,0,4,0,16,March,2013
Antonio Carvalho,Darren Elkins,0,1,9,14,33,25,31,59,0,0,0,0,0,0,6,21,7,8,0,4,2,2,23,41,3,8,0,0,KO/TKO,Yves Lavigne,"Montreal, Quebec, Canada",Featherweight Bout,Darren Elkins,Blue,False,28,33,Orthodox,Orthodox,177.8,175.26,1,0,0,2,25,47,0,5,2,2,4,13,0,0,16,March,2013
Mike Ricci,Colin Fletcher,0,0,47,37,34,29,145,152,2,0,100,0,0,0,219,75,34,11,12,10,1,16,123,120,3,3,8,2,Decision - Unanimous,Unknown,"Montreal, Quebec, Canada",Lightweight Bout,Mike Ricci,Red,False,30,26,Orthodox,Southpaw,187.96,182.88,0,0,2,2,98,59,29,25,10,43,3,4,11,3,16,March,2013
Patrick Cote,Bobby Voelker,0,0,72,83,53,47,162,265,0,4,0,80,0,0,222,343,52,55,9,14,11,14,109,109,15,30,2,15,Decision - Unanimous,Philippe Chartier,"Montreal, Quebec, Canada",Welterweight Bout,Patrick Cote,Red,False,33,33,Orthodox,Orthodox,182.88,180.34,0,0,6,5,107,139,17,19,11,17,23,41,3,25,16,March,2013
Carlos Condit,Johny Hendricks,0,0,42,30,28,42,201,112,0,12,0,80,0,0,24,481,26,25,10,4,6,1,130,56,2,5,6,5,Decision - Unanimous,Marc Goddard,"Montreal, Quebec, Canada",Welterweight Bout,Johny Hendricks,Blue,False,29,28,Southpaw,Orthodox,175.26,187.96,4,0,0,15,118,62,16,5,11,4,9,9,6,6,16,March,2013
Dan Miller,Jordan Mein,0,1,11,29,29,54,37,53,1,0,100,0,1,0,33,18,4,25,4,4,3,0,37,35,0,13,0,0,KO/TKO,Marc-Andre Cote,"Montreal, Quebec, Canada",Welterweight Bout,Jordan Mein,Blue,False,23,31,Orthodox,Orthodox,182.88,185.42,0,3,1,0,26,49,8,4,3,0,0,18,0,0,16,March,2013
Georges St-Pierre,Nick Diaz,0,0,105,41,62,30,285,176,9,0,56,0,0,1,824,36,69,19,22,19,14,3,106,113,11,17,32,0,Decision - Unanimous,Yves Lavigne,"Montreal, Quebec, Canada",UFC Welterweight Title Bout,Georges St-Pierre,Red,True,29,31,Southpaw,Orthodox,185.42,180.34,2,2,16,0,123,99,27,29,17,8,12,23,49,0,16,March,2013
Nick Ring,Chris Camozzi,0,0,86,64,38,25,225,250,0,0,0,0,0,0,0,20,33,48,10,5,43,11,223,239,2,4,0,0,Decision - Split,Marc-Andre Cote,"Montreal, Quebec, Canada",Middleweight Bout,Chris Camozzi,Blue,False,26,34,Orthodox,Southpaw,187.96,182.88,2,2,1,0,148,225,25,8,52,14,2,8,0,0,16,March,2013
TJ Dillashaw,Issei Tamura,1,0,30,11,52,55,66,28,2,0,66,0,0,0,175,0,13,4,3,4,14,3,31,12,14,7,8,0,KO/TKO,Yves Lavigne,"Montreal, Quebec, Canada",Bantamweight Bout,TJ Dillashaw,Red,False,29,27,Orthodox,Orthodox,165.1,167.64,1,0,3,1,32,10,6,6,19,4,18,8,8,0,16,March,2013
Rick Story,Quinn Mulhern,1,0,20,9,40,18,55,51,1,0,100,0,0,0,7,0,10,8,7,1,3,0,41,50,1,0,4,0,KO/TKO,Marc-Andre Cote,"Montreal, Quebec, Canada",Welterweight Bout,Rick Story,Red,False,28,28,Orthodox,Southpaw,190.5,175.26,0,0,1,1,35,42,9,8,5,0,2,0,6,0,16,March,2013
John Makdessi,Daron Cruickshank,0,0,86,51,44,25,197,198,0,0,0,0,0,0,11,2,58,32,17,7,11,12,189,197,1,0,0,1,Decision - Unanimous,Marc Goddard,"Montreal, Quebec, Canada",Lightweight Bout,John Makdessi,Red,False,27,27,Switch,Orthodox,172.72,172.72,2,2,0,4,153,166,30,19,12,13,5,0,1,1,16,March,2013
George Roop,Reuben Duran,0,0,33,30,44,53,174,82,2,1,66,16,1,0,263,451,15,15,14,11,4,4,44,26,14,11,11,7,Decision - Unanimous,Philippe Chartier,"Montreal, Quebec, Canada",Bantamweight Bout,George Roop,Red,False,29,31,Orthodox,Orthodox,170.18,185.42,0,0,3,6,47,40,21,12,7,4,19,15,12,15,16,March,2013
Takeya Mizugaki,Bryan Caraway,0,0,67,37,57,41,168,125,0,2,0,16,0,1,12,346,42,31,18,3,7,3,99,81,9,3,0,1,Decision - Split,Marc Goddard,"Saitama, Japan",Bantamweight Bout,Takeya Mizugaki,Red,False,28,29,Orthodox,Orthodox,172.72,170.18,2,1,1,12,91,82,19,4,7,3,18,7,0,1,2,March,2013
Yushin Okami,Hector Lombard,0,0,37,45,41,50,120,158,3,0,60,0,0,0,261,230,24,30,9,12,4,3,75,81,8,4,4,1,Decision - Split,Herb Dean,"Saitama, Japan",Middleweight Bout,Yushin Okami,Red,False,35,31,Southpaw,Southpaw,175.26,187.96,0,4,5,3,74,71,9,14,6,4,8,6,6,2,2,March,2013
Riki Fukuda,Brad Tavares,0,0,69,116,40,45,182,270,1,0,100,0,0,0,59,0,35,86,11,18,23,12,169,247,3,3,0,0,Decision - Unanimous,Thomas Fan,"Saitama, Japan",Middleweight Bout,Brad Tavares,Blue,False,25,32,Orthodox,Southpaw,185.42,182.88,2,0,1,0,118,217,16,20,38,17,3,7,0,0,2,March,2013
Takanori Gomi,Diego Sanchez,0,0,81,65,45,44,180,149,0,2,0,40,0,1,3,20,48,29,29,24,4,12,180,145,0,0,0,0,Decision - Split,Marc Goddard,"Saitama, Japan",Lightweight Bout,Diego Sanchez,Blue,False,31,34,Southpaw,Southpaw,177.8,170.18,6,0,0,5,135,100,36,31,9,14,0,0,0,0,2,March,2013
Dong Hyun Kim,Siyar Bahadurzada,0,0,23,5,39,20,221,45,3,0,50,0,1,0,674,2,16,4,6,0,1,1,12,21,0,0,17,1,Decision - Unanimous,Herb Dean,"Saitama, Japan",Welterweight Bout,Dong Hyun Kim,Red,False,28,31,Orthodox,Southpaw,180.34,187.96,1,2,6,0,51,20,6,2,1,2,0,0,46,3,2,March,2013
Wanderlei Silva,Brian Stann,2,1,43,43,51,56,97,103,0,0,0,0,0,0,37,54,37,23,5,9,1,11,65,56,8,12,5,0,KO/TKO,Marc Goddard,"Saitama, Japan",Light Heavyweight Bout,Wanderlei Silva,Red,False,32,36,Orthodox,Orthodox,185.42,180.34,0,0,2,0,76,51,6,12,1,13,13,20,5,0,2,March,2013
Mizuto Hirota,Rani Yahya,0,0,4,13,28,44,56,122,1,5,100,41,0,1,189,539,3,11,1,2,0,0,12,13,0,1,0,9,Decision - Unanimous,Marc Goddard,"Saitama, Japan",Featherweight Bout,Rani Yahya,Blue,False,28,31,Orthodox,Orthodox,167.64,170.18,1,0,1,12,13,26,1,3,0,0,1,1,1,15,2,March,2013
Stefan Struve,Mark Hunt,0,1,24,47,35,57,116,100,0,1,0,50,1,0,125,238,19,37,4,8,1,2,58,77,0,0,3,2,KO/TKO,Herb Dean,"Saitama, Japan",Heavyweight Bout,Mark Hunt,Blue,False,38,25,Orthodox,Orthodox,177.8,210.82,0,0,0,2,60,70,4,10,3,2,0,0,9,5,2,March,2013
Cristiano Marcello,Kazuki Tokudome,0,1,33,33,43,42,117,178,1,2,25,100,0,0,55,506,21,20,7,8,5,5,64,50,8,3,1,8,Decision - Unanimous,Thomas Fan,"Saitama, Japan",Lightweight Bout,Kazuki Tokudome,Blue,False,25,35,Southpaw,Orthodox,180.34,175.26,0,0,4,2,57,58,11,10,8,9,11,3,1,24,2,March,2013
